Unique Postal Districts,Customer Numbers,Number of PVs,Number of Heat Pumps,Number of Energy Storage,Number of EV Chargers,Total Number of LCTs,% Of Connections with LCT,% of Connections with PV,PV Band,% of Connections with Heatpumps,Heatpump Band,% of Connections with Energy Storage,Energy Storage Band,% of Connections with EV Chargers,EV Band
HX3 6,3860,55,47,0,57,159,4.12,1.42,0%-25%,1.22,0%-25%,0,0%-25%,1.48,0%-25%
WF7 7,3377,121,39,0,55,215,6.37,3.58,0%-25%,1.15,0%-25%,0,0%-25%,1.63,0%-25%
WF8 3,2948,186,0,0,48,234,7.94,6.31,25%-50%,0,0%-25%,0,0%-25%,1.63,0%-25%
LS14 6,5776,79,8,0,182,269,4.66,1.37,0%-25%,0.14,0%-25%,0,0%-25%,3.15,25%-50%
BD2 2,2961,22,13,0,33,68,2.3,0.74,0%-25%,0.44,0%-25%,0,0%-25%,1.11,0%-25%
YO42 4,2248,197,27,1,51,276,12.28,8.76,50%-75%,1.2,0%-25%,0.04,0%-25%,2.27,0%-25%
BD6 1,4426,83,59,0,35,177,4,1.88,0%-25%,1.33,25%-50%,0,0%-25%,0.79,0%-25%
BD20 7,2457,76,2,0,55,133,5.41,3.09,0%-25%,0.08,0%-25%,0,0%-25%,2.24,0%-25%
OL14 5,3096,36,0,0,38,74,2.39,1.16,0%-25%,0,0%-25%,0,0%-25%,1.23,0%-25%
S12 3,2883,95,49,0,23,167,5.79,3.3,0%-25%,1.7,25%-50%,0,0%-25%,0.8,0%-25%
HU1 2,1480,15,8,0,33,56,3.78,1.01,0%-25%,0.54,0%-25%,0,0%-25%,2.23,0%-25%
S5 8,7064,112,50,0,40,202,2.86,1.59,0%-25%,0.71,0%-25%,0,0%-25%,0.57,0%-25%
BB9 6,36,0,0,0,0,0,0,0,0%-25%,0,0%-25%,0,0%-25%,0,0%-25%
HU17 7,4174,230,24,1,86,341,8.17,5.51,25%-50%,0.57,0%-25%,0.02,0%-25%,2.06,0%-25%
DN34 5,5441,237,9,0,28,274,5.04,4.36,25%-50%,0.17,0%-25%,0,0%-25%,0.51,0%-25%
LN11 8,3622,204,30,0,58,292,8.06,5.63,25%-50%,0.83,0%-25%,0,0%-25%,1.6,0%-25%
WF1 5,3593,57,21,0,53,131,3.65,1.59,0%-25%,0.58,0%-25%,0,0%-25%,1.48,0%-25%
HD7 5,5043,162,31,0,83,276,5.47,3.21,0%-25%,0.61,0%-25%,0,0%-25%,1.65,0%-25%
HD2 2,5525,243,2,0,120,365,6.61,4.4,25%-50%,0.04,0%-25%,0,0%-25%,2.17,0%-25%
DN14 5,4437,143,4,0,63,210,4.73,3.22,0%-25%,0.09,0%-25%,0,0%-25%,1.42,0%-25%
S6 4,6709,128,45,0,89,262,3.91,1.91,0%-25%,0.67,0%-25%,0,0%-25%,1.33,0%-25%
BD20 0,2895,102,0,0,66,168,5.8,3.52,0%-25%,0,0%-25%,0,0%-25%,2.28,0%-25%
BD20 8,2687,105,2,0,59,166,6.18,3.91,0%-25%,0.07,0%-25%,0,0%-25%,2.2,0%-25%
BD17 5,3389,113,26,0,77,216,6.37,3.33,0%-25%,0.77,0%-25%,0,0%-25%,2.27,0%-25%
DN21 5,3030,303,25,0,38,366,12.08,10,50%-75%,0.83,0%-25%,0,0%-25%,1.25,0%-25%
BD1 2,1078,6,17,0,60,83,7.7,0.56,0%-25%,1.58,25%-50%,0,0%-25%,5.57,50%-75%
WF10 5,5636,145,24,0,165,334,5.93,2.57,0%-25%,0.43,0%-25%,0,0%-25%,2.93,25%-50%
BD13 1,1996,66,15,0,36,117,5.86,3.31,0%-25%,0.75,0%-25%,0,0%-25%,1.8,0%-25%
HD8 9,4941,234,46,0,128,408,8.26,4.74,25%-50%,0.93,0%-25%,0,0%-25%,2.59,25%-50%
DN35 8,4410,65,48,0,28,141,3.2,1.47,0%-25%,1.09,0%-25%,0,0%-25%,0.63,0%-25%
S70 1,2233,38,5,0,14,57,2.55,1.7,0%-25%,0.22,0%-25%,0,0%-25%,0.63,0%-25%
S72 8,6075,285,179,2,62,528,8.69,4.69,25%-50%,2.95,50%-75%,0.03,0%-25%,1.02,0%-25%
YO15 2,4539,54,4,0,39,97,2.14,1.19,0%-25%,0.09,0%-25%,0,0%-25%,0.86,0%-25%
HD9 5,2084,119,0,0,55,174,8.35,5.71,25%-50%,0,0%-25%,0,0%-25%,2.64,25%-50%
HX5 0,3398,76,20,0,106,202,5.94,2.24,0%-25%,0.59,0%-25%,0,0%-25%,3.12,25%-50%
LS1 5,976,1,0,0,184,185,18.95,0.1,0%-25%,0,0%-25%,0,0%-25%,18.85,75%-100%
LS21 1,2778,66,28,0,193,287,10.33,2.38,0%-25%,1.01,0%-25%,0,0%-25%,6.95,50%-75%
WF12 8,3459,129,45,0,50,224,6.48,3.73,0%-25%,1.3,0%-25%,0,0%-25%,1.45,0%-25%
LS28 8,4177,68,20,0,226,314,7.52,1.63,0%-25%,0.48,0%-25%,0,0%-25%,5.41,50%-75%
HD1 6,1801,60,5,0,34,99,5.5,3.33,0%-25%,0.28,0%-25%,0,0%-25%,1.89,0%-25%
S73 8,4455,174,14,1,52,241,5.41,3.91,0%-25%,0.31,0%-25%,0.02,0%-25%,1.17,0%-25%
HU3 1,4065,38,4,0,33,75,1.85,0.93,0%-25%,0.1,0%-25%,0,0%-25%,0.81,0%-25%
LS18 4,4866,92,31,0,290,413,8.49,1.89,0%-25%,0.64,0%-25%,0,0%-25%,5.96,50%-75%
LS6 1,6062,31,11,0,281,323,5.33,0.51,0%-25%,0.18,0%-25%,0,0%-25%,4.64,25%-50%
BD2 3,3780,63,45,0,39,147,3.89,1.67,0%-25%,1.19,0%-25%,0,0%-25%,1.03,0%-25%
WF1 1,2196,7,0,0,21,28,1.28,0.32,0%-25%,0,0%-25%,0,0%-25%,0.96,0%-25%
HU1 1,1487,7,0,0,37,44,2.96,0.47,0%-25%,0,0%-25%,0,0%-25%,2.49,0%-25%
S26 2,3048,150,25,0,49,224,7.35,4.92,25%-50%,0.82,0%-25%,0,0%-25%,1.61,0%-25%
HU5 4,4273,87,4,0,20,111,2.6,2.04,0%-25%,0.09,0%-25%,0,0%-25%,0.47,0%-25%
LS7 3,4440,63,7,0,240,310,6.98,1.42,0%-25%,0.16,0%-25%,0,0%-25%,5.41,50%-75%
HD9 3,1967,85,0,0,48,133,6.76,4.32,0%-25%,0,0%-25%,0,0%-25%,2.44,0%-25%
LS6 2,4188,35,3,0,188,226,5.4,0.84,0%-25%,0.07,0%-25%,0,0%-25%,4.49,25%-50%
HD4 6,5389,112,125,0,59,296,5.49,2.08,0%-25%,2.32,25%-50%,0,0%-25%,1.09,0%-25%
LS17 0,596,67,5,0,26,98,16.44,11.24,50%-75%,0.84,0%-25%,0,0%-25%,4.36,25%-50%
BD9 5,3231,45,13,0,40,98,3.03,1.39,0%-25%,0.4,0%-25%,0,0%-25%,1.24,0%-25%
HU7 6,1940,156,0,0,27,183,9.43,8.04,25%-50%,0,0%-25%,0,0%-25%,1.39,0%-25%
LS8 3,3886,40,9,0,177,226,5.82,1.03,0%-25%,0.23,0%-25%,0,0%-25%,4.55,25%-50%
LS9 6,5635,55,69,0,324,448,7.95,0.98,0%-25%,1.22,0%-25%,0,0%-25%,5.75,50%-75%
DN5 9,4837,271,92,2,64,429,8.87,5.6,25%-50%,1.9,25%-50%,0.04,0%-25%,1.32,0%-25%
S9 1,5750,178,61,0,146,385,6.7,3.1,0%-25%,1.06,0%-25%,0,0%-25%,2.54,25%-50%
WF1 3,3763,113,71,0,60,244,6.48,3,0%-25%,1.89,25%-50%,0,0%-25%,1.59,0%-25%
YO2 3,27,0,0,0,0,0,0,0,0%-25%,0,0%-25%,0,0%-25%,0,0%-25%
HU10 7,4255,148,5,0,77,230,5.41,3.48,0%-25%,0.12,0%-25%,0,0%-25%,1.81,0%-25%
BD16 3,2554,85,2,0,46,133,5.21,3.33,0%-25%,0.08,0%-25%,0,0%-25%,1.8,0%-25%
BD18 2,4027,45,73,0,50,168,4.17,1.12,0%-25%,1.81,25%-50%,0,0%-25%,1.24,0%-25%
S81 8,2041,202,41,1,29,273,13.38,9.9,50%-75%,2.01,25%-50%,0.05,0%-25%,1.42,0%-25%
S25 5,1170,112,33,1,22,168,14.36,9.57,50%-75%,2.82,50%-75%,0.09,25%-50%,1.88,0%-25%
YO16 7,4932,158,14,0,38,210,4.26,3.2,0%-25%,0.28,0%-25%,0,0%-25%,0.77,0%-25%
WF4 2,3168,151,35,1,61,248,7.83,4.77,25%-50%,1.1,0%-25%,0.03,0%-25%,1.93,0%-25%
S71 4,4802,239,161,1,67,468,9.75,4.98,25%-50%,3.35,50%-75%,0.02,0%-25%,1.4,0%-25%
BD12 9,2971,70,26,0,35,131,4.41,2.36,0%-25%,0.88,0%-25%,0,0%-25%,1.18,0%-25%
DN16 2,5367,226,7,1,56,290,5.4,4.21,0%-25%,0.13,0%-25%,0.02,0%-25%,1.04,0%-25%
BD23 6,1932,105,0,0,30,135,6.99,5.43,25%-50%,0,0%-25%,0,0%-25%,1.55,0%-25%
BD23 6,1932,105,0,0,30,135,6.99,5.43,25%-50%,0,0%-25%,0,0%-25%,1.55,0%-25%
LS7 1,2488,38,0,0,128,166,6.67,1.53,0%-25%,0,0%-25%,0,0%-25%,5.14,50%-75%
HX1 2,2731,44,1,0,32,77,2.82,1.61,0%-25%,0.04,0%-25%,0,0%-25%,1.17,0%-25%
LS4 2,3939,45,30,0,194,269,6.83,1.14,0%-25%,0.76,0%-25%,0,0%-25%,4.93,25%-50%
YO43 4,2572,170,13,1,56,240,9.33,6.61,25%-50%,0.51,0%-25%,0.04,0%-25%,2.18,0%-25%
DN16 1,4263,279,7,2,43,331,7.76,6.54,25%-50%,0.16,0%-25%,0.05,0%-25%,1.01,0%-25%
LS12 3,4723,87,5,0,842,934,19.78,1.84,0%-25%,0.11,0%-25%,0,0%-25%,17.83,75%-100%
HD9 2,2308,103,45,0,57,205,8.88,4.46,25%-50%,1.95,25%-50%,0,0%-25%,2.47,0%-25%
LS10 2,2363,66,5,0,111,182,7.7,2.79,0%-25%,0.21,0%-25%,0,0%-25%,4.7,25%-50%
S65 4,3974,185,45,1,31,262,6.59,4.66,25%-50%,1.13,0%-25%,0.03,0%-25%,0.78,0%-25%
S81 9,3791,425,31,4,67,527,13.9,11.21,50%-75%,0.82,0%-25%,0.11,25%-50%,1.77,0%-25%
S74 0,3642,214,13,1,41,269,7.39,5.88,25%-50%,0.36,0%-25%,0.03,0%-25%,1.13,0%-25%
LS24 9,4310,198,16,0,113,327,7.59,4.59,25%-50%,0.37,0%-25%,0,0%-25%,2.62,25%-50%
DN14 9,2815,265,46,1,39,351,12.47,9.41,50%-75%,1.63,25%-50%,0.04,0%-25%,1.39,0%-25%
S36 2,2990,125,2,0,66,193,6.45,4.18,0%-25%,0.07,0%-25%,0,0%-25%,2.21,0%-25%
BD16 1,4360,127,32,0,81,240,5.5,2.91,0%-25%,0.73,0%-25%,0,0%-25%,1.86,0%-25%
LS23 7,817,20,7,0,51,78,9.55,2.45,0%-25%,0.86,0%-25%,0,0%-25%,6.24,50%-75%
BD22 0,2336,123,0,0,22,145,6.21,5.27,25%-50%,0,0%-25%,0,0%-25%,0.94,0%-25%
LS12 5,4915,136,15,0,910,1061,21.59,2.77,0%-25%,0.31,0%-25%,0,0%-25%,18.51,75%-100%
HX3 8,3672,107,55,0,57,219,5.96,2.91,0%-25%,1.5,25%-50%,0,0%-25%,1.55,0%-25%
HD6 2,3656,81,43,0,65,189,5.17,2.22,0%-25%,1.18,0%-25%,0,0%-25%,1.78,0%-25%
LS29 8,4597,115,48,0,161,324,7.05,2.5,0%-25%,1.04,0%-25%,0,0%-25%,3.5,25%-50%
WF3 3,3841,150,98,0,119,367,9.55,3.91,0%-25%,2.55,25%-50%,0,0%-25%,3.1,25%-50%
LS8 2,5410,96,5,0,246,347,6.41,1.77,0%-25%,0.09,0%-25%,0,0%-25%,4.55,25%-50%
WF8 2,6599,296,11,1,118,426,6.46,4.49,25%-50%,0.17,0%-25%,0.02,0%-25%,1.79,0%-25%
S33 6,561,34,0,0,20,54,9.63,6.06,25%-50%,0,0%-25%,0,0%-25%,3.57,25%-50%
LS13 2,5436,158,65,0,152,375,6.9,2.91,0%-25%,1.2,0%-25%,0,0%-25%,2.8,25%-50%
S13 8,5254,106,92,0,41,239,4.55,2.02,0%-25%,1.75,25%-50%,0,0%-25%,0.78,0%-25%
S75 3,3771,287,82,2,78,449,11.91,7.61,25%-50%,2.17,25%-50%,0.05,0%-25%,2.07,0%-25%
DN15 8,5977,485,87,3,74,649,10.86,8.11,25%-50%,1.46,25%-50%,0.05,0%-25%,1.24,0%-25%
S60 5,6861,395,76,2,113,586,8.54,5.76,25%-50%,1.11,0%-25%,0.03,0%-25%,1.65,0%-25%
HX1 5,2221,11,33,0,25,69,3.11,0.5,0%-25%,1.49,25%-50%,0,0%-25%,1.13,0%-25%
YO26 7,1024,8,0,0,57,65,6.35,0.78,0%-25%,0,0%-25%,0,0%-25%,5.57,50%-75%
HU18 1,4582,197,22,0,59,278,6.07,4.3,0%-25%,0.48,0%-25%,0,0%-25%,1.29,0%-25%
HU6 7,5421,141,27,0,31,199,3.67,2.6,0%-25%,0.5,0%-25%,0,0%-25%,0.57,0%-25%
DN34 4,4321,144,5,1,19,169,3.91,3.33,0%-25%,0.12,0%-25%,0.02,0%-25%,0.44,0%-25%
LS24 8,1589,75,13,0,45,133,8.37,4.72,25%-50%,0.82,0%-25%,0,0%-25%,2.83,25%-50%
LS24 8,1589,75,13,0,45,133,8.37,4.72,25%-50%,0.82,0%-25%,0,0%-25%,2.83,25%-50%
LS15 8,5105,94,6,0,214,314,6.15,1.84,0%-25%,0.12,0%-25%,0,0%-25%,4.19,25%-50%
S72 9,1971,117,3,0,20,140,7.1,5.94,25%-50%,0.15,0%-25%,0,0%-25%,1.01,0%-25%
BD5 8,3222,67,37,0,27,131,4.07,2.08,0%-25%,1.15,0%-25%,0,0%-25%,0.84,0%-25%
S66 1,2744,154,43,1,41,239,8.71,5.61,25%-50%,1.57,25%-50%,0.04,0%-25%,1.49,0%-25%
DN37 7,1647,86,0,0,29,115,6.98,5.22,25%-50%,0,0%-25%,0,0%-25%,1.76,0%-25%
DN37 9,4391,431,0,2,82,515,11.73,9.82,50%-75%,0,0%-25%,0.05,0%-25%,1.87,0%-25%
WF13 1,1362,10,13,0,7,30,2.2,0.73,0%-25%,0.95,0%-25%,0,0%-25%,0.51,0%-25%
LS20 8,3181,96,9,0,195,300,9.43,3.02,0%-25%,0.28,0%-25%,0,0%-25%,6.13,50%-75%
WF14 8,2151,61,48,0,41,150,6.97,2.84,0%-25%,2.23,25%-50%,0,0%-25%,1.91,0%-25%
S33 7,166,2,0,0,4,6,3.61,1.2,0%-25%,0,0%-25%,0,0%-25%,2.41,0%-25%
WF9 1,3116,207,8,2,28,245,7.86,6.64,25%-50%,0.26,0%-25%,0.06,25%-50%,0.9,0%-25%
YO8 9,5685,30,20,0,113,163,2.87,0.53,0%-25%,0.35,0%-25%,0,0%-25%,1.99,0%-25%
S35 7,1647,101,2,0,163,266,16.15,6.13,25%-50%,0.12,0%-25%,0,0%-25%,9.9,75%-100%
LS13 1,3575,87,4,0,100,191,5.34,2.43,0%-25%,0.11,0%-25%,0,0%-25%,2.8,25%-50%
YO42 1,1099,90,6,0,18,114,10.37,8.19,25%-50%,0.55,0%-25%,0,0%-25%,1.64,0%-25%
HU6 8,4358,53,77,0,23,153,3.51,1.22,0%-25%,1.77,25%-50%,0,0%-25%,0.53,0%-25%
HU9 2,3212,61,6,0,24,91,2.83,1.9,0%-25%,0.19,0%-25%,0,0%-25%,0.75,0%-25%
BD4 7,2379,33,16,0,44,93,3.91,1.39,0%-25%,0.67,0%-25%,0,0%-25%,1.85,0%-25%
BD13 5,1437,44,11,0,27,82,5.71,3.06,0%-25%,0.77,0%-25%,0,0%-25%,1.88,0%-25%
S70 4,3831,122,109,1,30,262,6.84,3.18,0%-25%,2.85,50%-75%,0.03,0%-25%,0.78,0%-25%
HD9 7,1903,104,0,0,51,155,8.15,5.47,25%-50%,0,0%-25%,0,0%-25%,2.68,25%-50%
S36 3,134,23,3,0,1,27,20.15,17.16,75%-100%,2.24,25%-50%,0,0%-25%,0.75,0%-25%
BB18 5,3764,71,0,0,41,112,2.98,1.89,0%-25%,0,0%-25%,0,0%-25%,1.09,0%-25%
S35 0,3068,112,27,0,323,462,15.06,3.65,0%-25%,0.88,0%-25%,0,0%-25%,10.53,75%-100%
LS9 8,3624,38,0,0,199,237,6.54,1.05,0%-25%,0,0%-25%,0,0%-25%,5.49,50%-75%
HD5 0,2482,89,109,0,25,223,8.98,3.59,0%-25%,4.39,75%-100%,0,0%-25%,1.01,0%-25%
HX7 6,996,22,5,0,19,46,4.62,2.21,0%-25%,0.5,0%-25%,0,0%-25%,1.91,0%-25%
HU8 0,3420,131,3,0,25,159,4.65,3.83,0%-25%,0.09,0%-25%,0,0%-25%,0.73,0%-25%
LS11 7,2988,29,29,0,186,244,8.17,0.97,0%-25%,0.97,0%-25%,0,0%-25%,6.22,50%-75%
YO8 5,2786,14,9,0,54,77,2.76,0.5,0%-25%,0.32,0%-25%,0,0%-25%,1.94,0%-25%
S18 3,871,25,13,0,19,57,6.54,2.87,0%-25%,1.49,25%-50%,0,0%-25%,2.18,0%-25%
S30 4,28,2,0,0,0,2,7.14,7.14,25%-50%,0,0%-25%,0,0%-25%,0,0%-25%
HU13 9,3045,59,49,0,100,208,6.83,1.94,0%-25%,1.61,25%-50%,0,0%-25%,3.28,25%-50%
S5 7,5832,73,10,0,35,118,2.02,1.25,0%-25%,0.17,0%-25%,0,0%-25%,0.6,0%-25%
S5 6,5158,71,25,0,27,123,2.38,1.38,0%-25%,0.48,0%-25%,0,0%-25%,0.52,0%-25%
DN8 4,4578,253,33,2,591,879,19.2,5.53,25%-50%,0.72,0%-25%,0.04,0%-25%,12.91,75%-100%
WF2 6,3609,178,41,0,88,307,8.51,4.93,25%-50%,1.14,0%-25%,0,0%-25%,2.44,0%-25%
WF11 0,2905,128,15,0,38,181,6.23,4.41,25%-50%,0.52,0%-25%,0,0%-25%,1.31,0%-25%
WF16 7,222,1,3,0,2,6,2.7,0.45,0%-25%,1.35,25%-50%,0,0%-25%,0.9,0%-25%
DN11 8,3809,330,59,3,65,457,12,8.66,25%-50%,1.55,25%-50%,0.08,25%-50%,1.71,0%-25%
S6 1,5286,103,43,0,67,213,4.03,1.95,0%-25%,0.81,0%-25%,0,0%-25%,1.27,0%-25%
LS12 6,1058,7,18,0,152,177,16.73,0.66,0%-25%,1.7,25%-50%,0,0%-25%,14.37,75%-100%
BD6 3,6048,191,74,0,48,313,5.18,3.16,0%-25%,1.22,0%-25%,0,0%-25%,0.79,0%-25%
DN21 2,3778,70,10,0,54,134,3.55,1.85,0%-25%,0.26,0%-25%,0,0%-25%,1.43,0%-25%
BD16 4,3551,71,35,0,70,176,4.96,2,0%-25%,0.99,0%-25%,0,0%-25%,1.97,0%-25%
LS7 2,4302,79,50,0,233,362,8.41,1.84,0%-25%,1.16,0%-25%,0,0%-25%,5.42,50%-75%
S20 7,2133,110,69,1,28,208,9.75,5.16,25%-50%,3.23,50%-75%,0.05,0%-25%,1.31,0%-25%
S25 2,4064,252,30,2,76,360,8.86,6.2,25%-50%,0.74,0%-25%,0.05,0%-25%,1.87,0%-25%
S2 3,4603,80,27,0,34,141,3.06,1.74,0%-25%,0.59,0%-25%,0,0%-25%,0.74,0%-25%
S36 1,3357,126,46,0,75,247,7.36,3.75,0%-25%,1.37,25%-50%,0,0%-25%,2.23,0%-25%
LS11 8,4805,69,11,0,283,363,7.55,1.44,0%-25%,0.23,0%-25%,0,0%-25%,5.89,50%-75%
WF15 8,2379,116,59,0,35,210,8.83,4.88,25%-50%,2.48,25%-50%,0,0%-25%,1.47,0%-25%
BD21 2,2689,42,26,0,32,100,3.72,1.56,0%-25%,0.97,0%-25%,0,0%-25%,1.19,0%-25%
S36 9,1443,78,12,0,28,118,8.18,5.41,25%-50%,0.83,0%-25%,0,0%-25%,1.94,0%-25%
S5 0,4613,47,6,0,23,76,1.65,1.02,0%-25%,0.13,0%-25%,0,0%-25%,0.5,0%-25%
LN11 9,3278,110,3,0,50,163,4.97,3.36,0%-25%,0.09,0%-25%,0,0%-25%,1.53,0%-25%
LN8 6,1291,102,4,0,22,128,9.91,7.9,25%-50%,0.31,0%-25%,0,0%-25%,1.7,0%-25%
YO15 1,2268,128,1,0,19,148,6.53,5.64,25%-50%,0.04,0%-25%,0,0%-25%,0.84,0%-25%
DN32 8,3797,85,3,0,33,121,3.19,2.24,0%-25%,0.08,0%-25%,0,0%-25%,0.87,0%-25%
LN38 6,219,0,3,0,0,3,1.37,0,0%-25%,1.37,25%-50%,0,0%-25%,0,0%-25%
BD9 6,3138,48,54,0,43,145,4.62,1.53,0%-25%,1.72,25%-50%,0,0%-25%,1.37,0%-25%
BD8 9,2833,18,16,0,22,56,1.98,0.64,0%-25%,0.56,0%-25%,0,0%-25%,0.78,0%-25%
S60 4,3297,126,18,0,54,198,6.01,3.82,0%-25%,0.55,0%-25%,0,0%-25%,1.64,0%-25%
WF5 8,2952,132,44,0,49,225,7.62,4.47,25%-50%,1.49,25%-50%,0,0%-25%,1.66,0%-25%
S36 8,862,74,25,0,17,116,13.46,8.58,25%-50%,2.9,50%-75%,0,0%-25%,1.97,0%-25%
LS14 3,1422,50,8,0,41,99,6.96,3.52,0%-25%,0.56,0%-25%,0,0%-25%,2.88,25%-50%
HX2 9,3760,191,90,0,48,329,8.75,5.08,25%-50%,2.39,25%-50%,0,0%-25%,1.28,0%-25%
LS17 5,3195,48,61,0,156,265,8.29,1.5,0%-25%,1.91,25%-50%,0,0%-25%,4.88,25%-50%
S35 8,1715,51,21,0,185,257,14.99,2.97,0%-25%,1.22,0%-25%,0,0%-25%,10.79,75%-100%
YO25 5,3628,177,58,1,78,314,8.65,4.88,25%-50%,1.6,25%-50%,0.03,0%-25%,2.15,0%-25%
WF17 8,3861,106,80,0,46,232,6.01,2.75,0%-25%,2.07,25%-50%,0,0%-25%,1.19,0%-25%
S26 1,774,62,6,0,10,78,10.08,8.01,25%-50%,0.78,0%-25%,0,0%-25%,1.29,0%-25%
S3 7,3507,18,43,0,37,98,2.79,0.51,0%-25%,1.23,0%-25%,0,0%-25%,1.06,0%-25%
S36 6,3600,158,46,0,80,284,7.89,4.39,25%-50%,1.28,0%-25%,0,0%-25%,2.22,0%-25%
WF15 6,2621,89,23,0,38,150,5.72,3.4,0%-25%,0.88,0%-25%,0,0%-25%,1.45,0%-25%
DN12 4,2245,168,51,1,17,237,10.56,7.48,25%-50%,2.27,25%-50%,0.04,0%-25%,0.76,0%-25%
BB7 4,10,0,0,0,0,0,0,0,0%-25%,0,0%-25%,0,0%-25%,0,0%-25%
WF13 4,3689,105,114,0,28,247,6.7,2.85,0%-25%,3.09,50%-75%,0,0%-25%,0.76,0%-25%
BD19 3,2605,41,27,0,49,117,4.49,1.57,0%-25%,1.04,0%-25%,0,0%-25%,1.88,0%-25%
LS28 7,4462,100,30,0,236,366,8.2,2.24,0%-25%,0.67,0%-25%,0,0%-25%,5.29,50%-75%
LS22 6,3175,78,16,0,279,373,11.75,2.46,0%-25%,0.5,0%-25%,0,0%-25%,8.79,75%-100%
DN15 6,2735,52,60,0,25,137,5.01,1.9,0%-25%,2.19,25%-50%,0,0%-25%,0.91,0%-25%
BD4 9,3215,112,80,0,66,258,8.02,3.48,0%-25%,2.49,25%-50%,0,0%-25%,2.05,0%-25%
S25 3,1225,45,6,0,21,72,5.88,3.67,0%-25%,0.49,0%-25%,0,0%-25%,1.71,0%-25%
S11 8,6357,64,68,0,163,295,4.64,1.01,0%-25%,1.07,0%-25%,0,0%-25%,2.56,25%-50%
S60 3,3150,126,51,0,51,228,7.24,4,0%-25%,1.62,25%-50%,0,0%-25%,1.62,0%-25%
S18 1,2631,110,39,0,53,202,7.68,4.18,0%-25%,1.48,25%-50%,0,0%-25%,2.01,0%-25%
S35 9,1963,78,28,0,194,300,15.28,3.97,0%-25%,1.43,25%-50%,0,0%-25%,9.88,75%-100%
LS15 0,3635,64,7,0,157,228,6.27,1.76,0%-25%,0.19,0%-25%,0,0%-25%,4.32,25%-50%
WF9 5,2440,121,46,1,19,187,7.66,4.96,25%-50%,1.89,25%-50%,0.04,0%-25%,0.78,0%-25%
DN33 2,2232,69,0,0,23,92,4.12,3.09,0%-25%,0,0%-25%,0,0%-25%,1.03,0%-25%
HU8 8,3858,57,7,0,26,90,2.33,1.48,0%-25%,0.18,0%-25%,0,0%-25%,0.67,0%-25%
S5 9,4822,63,7,0,28,98,2.03,1.31,0%-25%,0.15,0%-25%,0,0%-25%,0.58,0%-25%
LS1 1,33,0,0,0,1,1,3.03,0,0%-25%,0,0%-25%,0,0%-25%,3.03,25%-50%
BD12 7,1042,31,6,0,10,47,4.51,2.98,0%-25%,0.58,0%-25%,0,0%-25%,0.96,0%-25%
HU20 3,433,58,3,1,13,75,17.32,13.39,75%-100%,0.69,0%-25%,0.23,75%-100%,3,25%-50%
HU3 4,1265,14,8,0,5,27,2.13,1.11,0%-25%,0.63,0%-25%,0,0%-25%,0.4,0%-25%
LS14 2,2107,69,20,0,66,155,7.36,3.27,0%-25%,0.95,0%-25%,0,0%-25%,3.13,25%-50%
S31 7,45,5,0,0,0,5,11.11,11.11,50%-75%,0,0%-25%,0,0%-25%,0,0%-25%
HU6 0,273,11,4,0,1,16,5.86,4.03,0%-25%,1.47,25%-50%,0,0%-25%,0.37,0%-25%
S30 2,37,6,0,0,0,6,16.22,16.22,75%-100%,0,0%-25%,0,0%-25%,0,0%-25%
HU3 5,1454,63,2,1,12,78,5.36,4.33,0%-25%,0.14,0%-25%,0.07,25%-50%,0.83,0%-25%
S31 0,308,8,0,0,0,8,2.6,2.6,0%-25%,0,0%-25%,0,0%-25%,0,0%-25%
HD7 1,405,13,4,0,5,22,5.43,3.21,0%-25%,0.99,0%-25%,0,0%-25%,1.23,0%-25%
BB8 7,9,0,0,0,0,0,0,0,0%-25%,0,0%-25%,0,0%-25%,0,0%-25%
DN36 4,5239,258,0,0,123,381,7.27,4.92,25%-50%,0,0%-25%,0,0%-25%,2.35,0%-25%
S32 1,13,0,0,0,0,0,0,0,0%-25%,0,0%-25%,0,0%-25%,0,0%-25%
BD1 3,1063,3,8,0,51,62,5.83,0.28,0%-25%,0.75,0%-25%,0,0%-25%,4.8,25%-50%
S1 3,212,4,5,0,2,11,5.19,1.89,0%-25%,2.36,25%-50%,0,0%-25%,0.94,0%-25%
LS1 8,128,0,1,0,12,13,10.16,0,0%-25%,0.78,0%-25%,0,0%-25%,9.38,75%-100%
S20 8,942,44,19,0,14,77,8.17,4.67,25%-50%,2.02,25%-50%,0,0%-25%,1.49,0%-25%
S31 2,169,1,2,0,0,3,1.78,0.59,0%-25%,1.18,0%-25%,0,0%-25%,0,0%-25%
HD1 1,787,1,0,0,5,6,0.76,0.13,0%-25%,0,0%-25%,0,0%-25%,0.64,0%-25%
S25 7,6,1,0,0,0,1,16.67,16.67,75%-100%,0,0%-25%,0,0%-25%,0,0%-25%
LS19 4,6,0,0,0,0,0,0,0,0%-25%,0,0%-25%,0,0%-25%,0,0%-25%
YO21 1,3832,122,62,0,40,224,5.85,3.18,0%-25%,1.62,25%-50%,0,0%-25%,1.04,0%-25%
DH1 5,6484,284,119,1,164,568,8.76,4.38,25%-50%,1.84,25%-50%,0.02,0%-25%,2.53,25%-50%
NE61 2,4134,158,9,0,126,293,7.09,3.82,0%-25%,0.22,0%-25%,0,0%-25%,3.05,25%-50%
